,term,count,num_docs,label,subjectivity_max,subjectivity_min,subjectivity_mean
6041,fastrack,1,1,['neutral'],0.6499999999999999,0.6499999999999999,0.6499999999999999
6040,fasting,1,1,['negative'],0.2888888888888889,0.2888888888888889,0.2888888888888889
15547,solus,1,1,['neutral'],0.09999999999999999,0.09999999999999999,0.09999999999999999
6035,fastening,1,1,['positive'],0.0,0.0,0.0
6057,favre,1,1,['neutral'],0.55,0.55,0.55
15550,solvent,1,1,['positive'],0.4875,0.4875,0.4875
6028,fashioned,1,1,['neutral'],0.26999999999999996,0.26999999999999996,0.26999999999999996
6025,fascinating,1,1,['positive'],0.525,0.525,0.525
15554,somatic,1,1,['positive'],0.6666666666666667,0.6666666666666667,0.6666666666666667
15555,somebody,1,1,['neutral'],0.3138888888888889,0.3138888888888889,0.3138888888888889
6020,farfetchers,1,1,['positive'],0.7,0.7,0.7
15557,sonance,1,1,['positive'],0.1,0.1,0.1
6018,farapulse,1,1,['positive'],0.6,0.6,0.6
6016,faq,1,1,['neutral'],0.3611111111111111,0.3611111111111111,0.3611111111111111
15560,sonic,1,1,['neutral'],0.25,0.25,0.25
6013,fanfare,1,1,['neutral'],0.375,0.375,0.375
6009,fandi,1,1,['positive'],0.0,0.0,0.0
15561,sonographers,1,1,['neutral'],0.5,0.5,0.5
15551,solver,1,1,['neutral'],0.5625,0.5625,0.5625
6058,faxing,1,1,['positive'],0.5,0.5,0.5
6059,fayetteville,1,1,['neutral'],1.0,1.0,1.0
15538,solidifies,1,1,['positive'],0.375,0.375,0.375
15499,sodium,1,1,['positive'],0.6,0.6,0.6
6121,ferret,1,1,['neutral'],0.0,0.0,0.0
6120,fernando,1,1,['neutral'],0.0,0.0,0.0
6116,fep,1,1,['negative'],0.3472222222222222,0.3472222222222222,0.3472222222222222
6115,fengdu,1,1,['positive'],0.26999999999999996,0.26999999999999996,0.26999999999999996
6113,fencing,1,1,['neutral'],0.0,0.0,0.0
6110,fem,1,1,['positive'],0.0,0.0,0.0
6109,felt,1,1,['positive'],0.6166666666666667,0.6166666666666667,0.6166666666666667
6106,feline,1,1,['positive'],0.5449999999999999,0.5449999999999999,0.5449999999999999
15508,softened,1,1,['positive'],0.6875,0.6875,0.6875
6101,feedlot,1,1,['positive'],0.3,0.3,0.3
15513,softgels,1,1,['neutral'],0.3,0.3,0.3
6092,federation,1,1,['neutral'],0.75,0.75,0.75
6091,federated,1,1,['neutral'],0.53125,0.53125,0.53125
15521,solarity,1,1,['neutral'],0.41666666666666663,0.41666666666666663,0.41666666666666663
15524,soldier,1,1,['positive'],0.2952380952380952,0.2952380952380952,0.2952380952380952
15527,solectrac,1,1,['positive'],0.6098484848484849,0.6098484848484849,0.6098484848484849
15528,solely,1,1,['positive'],0.0,0.0,0.0
6077,feathered,1,1,['neutral'],0.6916666666666667,0.6916666666666667,0.6916666666666667
15530,solex,1,1,['neutral'],0.3583333333333334,0.3583333333333334,0.3583333333333334
6075,feast,1,1,['positive'],0.6975,0.6975,0.6975
15531,solicit,1,1,['neutral'],0.3333333333333333,0.3333333333333333,0.3333333333333333
6071,fdii,1,1,['positive'],0.0,0.0,0.0
6069,fdi,1,1,['neutral'],0.0,0.0,0.0
15532,solicitation,1,1,['negative'],0.3333333333333333,0.3333333333333333,0.3333333333333333
